quote,author,tags,likes
Twelve days ain't enough to celebrate Christmas. as humans we must live each day helping others.,Abhijit Naskar,christian-living christmas christmas-eve christmas-quotes christmas-spirit helping-others love-thy-neighbor merry-christmas santa-claus,0
"Miss Winter, did you buy me a dirty Advent calendar?"" He draws me closer and kisses my neck.""Of course not."" I pretend to be outraged.""I made it myself.",Jana Aston,christmas humour romance,0
Point Cook This Christmas,Anthony T. Hincks,anthony-t-hincks australia christmas holidays point-cook vacation veitch victoria xmas,0
"This Christmas, make it next Christmas.",Anthony T. Hincks,anthony-t-hincks christmas christmas-quotes holidays quote-of-the-day time vacation yuletide zmas,0
Have a Fiji Christmas in the sun.,Anthony T. Hincks,anthony-t-hincks christmas christmas-holidays fiji hliday sun vacation veitch xmas,0
The significance of church bells ringing is to draw attention for the Sabbath holy service.,Lailah Gifty Akita,christmas church-bells sabbath service,0
"Christmas is for families, friends and strangers. It's a time to forget our troubles. It's a time to open our hearts and our minds to those around us. It is more than a religious overtone. It is a joyous time to welcome happiness into our lives.",Anthony T. Hincks,anthony-t-hincks christmas christmas-pageant father-christmas happiness holidays zmas,0
Your smile is the only Christmas gift that I need this year.,Anthony T. Hincks,anthony-t-hincks christmas christmas-pageant gift happiness present smile xmas yule-time,0
You don't need to be a kid to find happiness at Christmas time.,Anthony T. Hincks,anthony-t-hincks children christmas happiness hoidays kids point-cook xmas,0
"Let your ""Ho! Ho! Ho!"" not ""Go! Go! Go!"" this year.",Anthony T. Hincks,anthony-t-hincks christmas christmas-quotes father-christmas happiness hohoho philosophy point-cook quote-of-the-day xmas,0
"Don't let your ""Ho! Ho! Ho!"", ""Go! Go! Go!"" this year.",Anthony T. Hincks,anthony-t-hincks christmas christmas-quotes happiness hohoho quote-of-the-day veitch xmas,0
There is no Christmas without a remembrance of the birth of Christ.,Lailah Gifty Akita,christ christian christmas,0
"Since Christmas is all about Christ, Christmas is all about 'giving', sharing and spreading joy.",Henrietta Newton Martin  Legal Counsel  Author. Greatest of All Romances Your Potters Call.,christmas christmas-card,0
"For the power of Christmas rests in the fact that we will never completely understand the vastness of it, but that will never stop its ability to completely transform the fullness of us.",Craig D. Lounsbrough,christian christmas fullness god humanity transform transformation understanding vast vastness,0
"Serving someone in the most sacrificial way possible is to willingly place ourselves in a position where we may need to be saved from those that we serve, while determining that we will forgo any such saving.",Craig D. Lounsbrough,christian christmas easter giving god jesus love sacrifice sacrificial saving,0
Christmas is a family event of strangers.,Anthony T. Hincks,anthony-t-hincks christmas christmas-quotes friiends happiness philosophy strangers veitch,0
"I ate, I drank, I wondered why love is so hard and life is so short. I went to sleep.",Jeanette Winterson,christmas life love struggle,0
"My dad always made Christmas super special in Ardmore, Pa. back in the 80's.I will never forget his spirit of giving, caring and sharing!",Charmaine J. Forde,80-s ardmore christmas giving my-dad sharing super-special,0
"Do you believe in the magic of Santa and Christmas, or don't you?Those are two different things, Valerie said.Yes. They are. And at the same time, they aren't. You can believe in one and not the other, sure, but they take the same amount of belief.",Chloe Garner,belief christmas santa,0
"Without the charity of christ birth, can there be any Christmas?",Lailah Gifty Akita,christ-birth christian christmas motivational,0
"Jingle bells, jingle bells, jingle all the way, Oh, what fun it is to give our own life away! Saint Nicholas did his part, so did Chris himself, Now it's time for us to be the happiness gateway.",Abhijit Naskar,altruism christmas christmas-eve christmas-quotes christmas-spirit helping-others love-thy-neighbor merry-christmas santa-claus,0
Christmas gave me the happiness and love.,Anthony T. Hincks,anthony-t-hincks christmas christmas-quotes happiness love point-cook quote-of-the-day,0
"This Christmas, make the New Year count.",Anthony T. Hincks,anthony-t-hincks christmas family friends love new-year philosophy promises quote-of-the-day veitch,0
Make each day a Christmas to remember.,Anthony T. Hincks,anthony-t-hincks christmas christmas-quotes days happiness love philosophy point-cook,0
"So are there any good Christmas stories out there? You bet, starting with the original. The recounting of the first Christmas (you know, the baby in the manger) has all the elements of great storytelling: drama, danger, special effects, dreams and warnings, betrayals, narrow escapes, and combined with the Easter story - the happiest ending of all.And it’s got great characters - Joseph, who’s in over his head but doing the best he can; the wise men, expecting a palace and getting a stable; slimy Herod, telling them “When you find this king, tell me where he is so I can come and worship him,",Connie Willis,christmas,0
"Christmas is for a day, its celebration for a season, but the joy of Christ and being part of that Hero of Christmas is eternal. Celebrate Christ this Christmas!",Henrietta Newton Martin - Legal Counsel & Author,christmas christmas-greetings christmas-joy christmas-spirit christmas-wishes christmas-word,0
"It was uncanny, really. The women were, like, four-hundred and fifty-five to none in matchmaking stats.",Kelly Moran,christmas holiday-books matchmaking romance small-town-romance,5
He was so brilliant he should punch his own face.,Kelly Moran,christmas holiday-romance humor nervous romcom second-chance-romance,5
"Ever make toast? The act of browning bread. Apply butter or maybe jam afterward. Once finished, you can’t unmake it. You can’t change it back to bread. That’s what love is. Toast.",Kelly Moran,analogy christmas hallmark-romance holiday-romance love love-quotes redwood romcom second-chance-love small-town-romance,5
I’m too old for wanderlust and games. It was time to come home.,Kelly Moran,christmas holiday-romance home romcom second-chance small-town-romance,5
Time didn’t just heal. It could also inflict damage.,Kelly Moran,christmas holiday-romance kelly-moran redwood romcom second-chances small-town-romance time-passing time-quote,5
"Santa Claus, Snowflakes, and Stocking StuffersChristmas is definitely here",Charmaine J. Forde,christmas santa-claus snowflakes stocking-stuffers,1
"Christmas is a juggernaut, it rolls over most interruptions, potholes or side-tracks, and just keeps right on going.  From Making our Christmas Present:  A Merry Journey",Alan Camrose,christmas christmas-quotes christmas-spirit christmastime humor humorous humour non-fiction,0
"Aleksander Lavrov n'est pas le genre de type à se faire des amis, mais plutôt à les repousser.",Manon Viet,christmas christmas-romance french young-adult,0
"Rassurez-vous, vieillir n’est pas si terrible. Quelqu’un a dit que c’était obligatoire, mais que grandir était un choix.",Emma Dos Santos,christmas christmas-romance feel-good-romance,0
"Every gift reveals God's love... but no gift reveals his love more than the gifts of the cross. They came, not wrapped in paper, but in passion. Not placed around a tree, but a cross. And not covered with ribbons, but sprinkled with blood.",Max Lucado,christmas,0
"Punctually at Christmas the soft plush Of sentiment snows down, embosoms all The sharp and pointed shapes of venom, shawls The hills and hides the shocking holes of this Uneven world of want and wealth, cushions With cosy wish like cotton-wool the cool Arm's-length interstices of caste and class, And into obese folds subtracts from sight All truculent acts, bleeding the world white.",W.R. Rodgers,christmas dissembling love poems poetry pretending world,0
"Forgive Us Jesus (The Sonnet)Forgive us Jesus, my friend,We couldn't walk in your footsteps.You asked us to love our neighbor,Yet we found it impossible to be hateless.You didn't hate those who hated you,You loved them despite being mocked.Yet we can't even talk without judging today,We can't accept any difference in thought.Forgetting all comfort and luxury,You gave your life trying to erase bigotry.Yet we made you fodder for our own prejudice,And turned the crucifix into a badge of cruelty.We used you my friend to deepen our division.We prefer mindless worship over hearty compassion.",Abhijit Naskar,christian-life christmas compassion jesus-christ love-thy-neighbor religious-harmony religious-toleration theology,0
"Unlike the alleged Good Woman of the Bible, I'm not above rubies. When found, by the way, she must have been rather a problem at Christmas-time; nothing short of a blank cheque would have fitted the situation. Perhaps it's as well that she's died out.",Saki,christmas gifts rubies,0
"He needed to relax. That’s what everyone told him. But then, for the most part, everyone was a fool, and the holidays were the least relaxing time of the year.",Grace Sellers,christmas fitzwilliam-darcy holidays,0
"The Merry Chrismouse by Stewart StaffordWhat a time for the merry Chrismouse,Making toys in his workshop/house,Everyone contributes, even his spouse,With Christmas cheer, no one will douse.A sprig of holly for a present tree,Blizzard snow is grated cheese,The kindly rodent set to please,When he comes on Christmas Eve.Nuts and seeds on their button table,Playing games and telling fables,Discarded tinsel on the wall of gable,In midwinter's icy spell unstable.A time for amnesia that felines exist,Kindness and joy at their fingertips,Baby mice excitedly make lists,To have many gifts when they insist.© Stewart Stafford, 2021. All rights reserved.",Stewart Stafford,christmas christmas-poem christmastime happy-christmas happy-holidays holidays merry-christmas mice mouse winter,0
"We all do stupid stuff when we're hurting,"" she said and, probably because kissing him was all she could think about, lowered her mouth to his.",Brenda Novak,artist christmas movie-star poignant romance,0
"His gaze lowered to her mouth. ""I don't think you understand my limitations.""""You're not open to a relationship. Is that the limitation you're talking about?""He nodded, but kept staring at her lips as though they were all he could really think about.""Consider me warned,"" she said and slid her hand around his neck to bring his head down to hers.",Brenda Novak,artist christmas movie-star paparazzi poignant romance,0
"Tis the night before ChristmasAnd the moon is sitting highThe kids are in bed, Kissed and snuggled in tight The gifts are all wrappedThere is love in the airIt only comes once So it is handled with careThe curtains are drawnThe cookies are bitIt’s time to blow outAll those candles we’ve litThe kids will soon wakeWith laughter in their heartsWe have a big day aheadAnd early it would startLaughter’s and squeals Jumps on the bed Screaming, “Get up",N'Zuri Za Austin,christmas christmas-story christmas-tree family gifts holiday-spirit love together,0
"Yuletide Unburdening by Stewart StaffordFading embers of the final Christmas test,No more the frantic angst of dawn,Now it is poised last-minute checks,And then the flushing of responsibility.A fortnight of relaxation and merriment,Awaits the temporarily-exonerated inmate,Though it means entering the bruising storm,Bartered freedom a passenger and guide home.Cross the draughty, great hall, and finish line, Whispered submission of completed exam papers,And the old year's prescribed work is done,Then outside, leaving others to their stress.",Stewart Stafford,christmas college examination exams finals holiday-season poem poetry school tests,0
"Did you know,",Stephanie Perkins,christmas christmas-tree christmas-trees environment i-know nature plastic tree trees,0
December is a month of divine deal.,Lailah Gifty Akita,christmas december wise-sayings,0
Christmas is about doing special things to special people. It’s about forgetting ourselves and giving to others.,Nadine Sadaka Boulos,christmas christmas-quotes doing-special-things giving-to-others special-people,0
Dad!,Candi Kay,christmas gay-romance humor,0
"My point is we’ve been together practically no time at all, yet I couldn’t imagine my life, my future, without him in it. It’s like somebody, somewhere, put us both in the same place at the same time because we were meant to be there. Maybe it’s the same with you and Dustin.",Candi Kay,christmas gay-romance,0
"Reese, I swear I fell in love with you the moment you walked into Jacob’s place that first night. It slammed into me so hard it almost took my breath away. Hell, maybe even during our first video chat when I was at Jacob’s and you were in Tennessee.",Candi Kay,christmas gay-romance,0
"There was a lot of gossip around town about Jacob and me falling for the Wells brothers so quickly. More than one rude person said we wouldn’t last a year. But every time I look at Reese, or Jacob looks at Owen, I know those people don’t know what they’re talking about. We’ve found our forever, our homes. I know our parents are looking down smiling, happy to see that their sons found the same true love they did. I know they’d be proud.",Candi Kay,christmas gay-romance,0
"I’ll show you my dad’s room too, but he doesn’t sleep there anymore cuz of Reese being hurt. He’s staying with him in his room, kinda like real parents do. They think I don’t know, but I’m not a little kid anymore. I know these things.",Candi Kay,christmas gay-romance humorous-quotes,0
There is no Christmas without charity.,Lailah Gifty Akita,charity christmas giving,0
"If we fictionalize the story of Christmas as some fanciful tale spun in the backwaters of history and people long removed, in that action we have succumb to the debilitating belief that the only viable idea of rescue is fiction. And I can think of few things that are sadder than that.",Craig D. Lounsbrough,bible christmas fiction god jesus redemption rescue salvation,0
"It may be, that in the sight of Heaven, you are more worthless and less fit to live than millions like this poor man's child. Oh God! to hear the Insect on the leaf pronouncing on the too much life among his hungry brothers in the dust",Charles Dickens,christmas gratefullness poverty,0
"I’ll find my group one day. Friends I belong with, a city, a community, a place to get all those ideas out and let them be heard and appreciated. I’ll be something one day. I know I will.  For now I’m walking lonely in Prague at Christmas, feeling like the happiest, most unknown girl in the world.",Charlotte Eriksson,alone belonging christmas community home lonely lost nomad prague travel,1
"Besides, I'm not going to tell you my whole autobiography or anything. I'll just tell you about this madman stuff that happened to me around last Christmas just before I got pretty run-down and had to come out here and take it easy.",J.D. Salinger,autobiography catcher-in-the-rye censored christmas holden-caulfield madman run-down take-it-easy,1
"That wintry night, a child was born, swaddled with light and hay to adorn, through divine intervention, and a woman pure. And Heaven Rejoiced! He lived as a man to die for His creation, to shed His Blood as an offering and render us clean, to claim us back unto Himself as One in God our Creator, One God in all men, and to all men their God. At this, Heaven cried ' Accomplished'! He resurrected and ascended for which Heaven trumpeted 'Restored'! And now Heaven plans this banquet called 'Many Called-Few Chosen' for the time ripe for Him to come again to sweep His bride off her feet, sealed with His Blood and garment divine, for her to live and reign with Him forever. So this is the Christmas Story, the story of Jesus Divine!",Henrietta Newton Martin  Legal Counsel  Author. Greatest of All Romances Your Potters Call.,christmas christmas-cards christmas-cards-dubai christmas-greetings christmas-quotes christmas-story christmas-tree christmas-wishes,1
Two days after Christmas I stood in the shower thinking about the Salem witch trials.,Shaun David Hutchinson,christmas shaun-david-hutchinson witch-trials,1
"Only two classes of people found the Babe: the shepherds and the Wise Men; the simple and the learned; those who knew that they knew nothing, and those who knew that they did not know everything. He is never seen by the man of one book; never by the man who thinks he knows. Not even God can tell the proud anything! Only the humble can find God!",Fulton J. Sheen,catholic catholicism christmas,0
"How queer old customs are, with their histories reaching so far back into the past,",Enid Blyton,christmas santa-claus tradtitions wisdom,0
"There were carolers singing beside King's College Chapel as we passed, their breath smoking with the song. Christmas was everywhere—in the bright window shops, in the parcels done up with string, the Christmas trees and boughs of holly, the sides of ham and poor drooping geese being carried home on shoulders and bicycles by bright-cheeked passers-by.",Robin Stevens,christmas,0
"The lamps were lit, and the candles on the Christmas tree were burning. They made the tinsel glitter, the fronds of it floating gently, like fur or feathers. It all looked wonderfully festive.",Robin Stevens,christmas,0
"The fire was blazing, and in front of the fire guard were propped two bulging stockings. I could see bars of chocolate and fudge, packets of Turkish Delight, and tangerines in silver foil. Next to them were piles of presents, beautifully wrapped in tissue paper and ribbon. The room was festooned with green, spicy boughs, and breakfast was laid out on the low table next to the sofa: muffins and bread ready to be toasted, and eggs and bacon still steaming.",Robin Stevens,breakfast christmas food tea,0
"Then the doors were thrown open for us, and inside was a scene from a painting, a dining hall even grander and more ornate than Maudlin's, all stone and stained glass, with an enormous tree in the corner, decorated and lit. On the long wooden tables turkeys gleamed like chestnuts, bowls of cranberry sauce and piles of potatoes and stuffing and roast vegetables. Christmas crackers were laid out at each place, and students were filing in, wearing their formal caps and gowns.",Robin Stevens,christmas food,0
Trimmed Christmas trees are like snowflakes. Even in the same home over the years no two are ever alike.,Southern Living Inc.,christmas christmas-trees,0
"And there it was in a chestnut shell. My Christmas obsession wasn't about the holiday at all. It was about creating a space that felt like love. A magical, light-filled fantasy reflecting promise and hope and dreams we pray will come true. Not so far off from Vegas actually. Only with fewer drunk Santas. And a lot more sugar.",Southern Living Inc.,christmas christmas-obsession mothers-and-christmas,0
"Andrew con su esmoquin y la pajarita, y Emily con un vestido blanco y unas flores de plástico en la mano. Era divertido vestirlos y simular una boda",Mariah Evans,amigos christmas discusión discussion friends misión mission navidad planes plans,0
Another merry day to buy your year-long desired gifts. Don’t forget to spread your love along the way.,Sarvesh Jain,christmas,0
Abbie had survived exam week on nothing but strong coffee and homemade Christmas cookies - the kind that are 97 percent sugar.,Dan Salerno,christmas christmas-quotes christmastime,0
"Buddha, who lived over 500 years before Jesus, was born of the Virgin Maya, which is the same as Mary. Maya conceived by the Holy Ghost, and thus Buddha was of the nature of God and man combined. Buddha was born on December 25, his birth was announced in the heavens by a star, and angels sang. He stood upon his feet and spoke at the moment of his birth; at five months of age he sat unsupported in the air; and at the moment of his conversion he was attacked by a legion of demons. He was visited by wise men, he was baptized, transfigured, performed miracles, rose from the dead, and on his ascension through the air to heaven, he left his footprint on a mountain in Ceylon.",David Marshall Brooks,buddha buddhism christmas jesus,0
"Shea shook her head, her green eyes dancing. ""You're a very bad man, Jacques.""""I keep telling you that, but you persist in thinking I am cute and cuddly.",Christine Feehan,bad-man carpathians christine-feehan christmas cuddly cute lifemates love,0
You know of her existence. You are a hunter of the vampire and you know duty and honor. Behave in an honorable manner. Court her as she deserves. Allow her to heal with Francesca and Gabriel that she might come to you wholly and of her own free will. That is the gift that you can give her - and it is more than most of us have given our lifemates.,Christine Feehan,carpathians christine-feehan christmas duty gift healing honor lifemates love vampire,0
"Hope does not rest with men, for despite all his boisterous claims mankind does not have the depth nor the breath to create hope. In fact, mankind can only create a thin and precarious illusion of it that disappoints without fail. For only God can create a hope that has no hope of failing.",Craig D. Lounsbrough,assurance assuredness christian christmas god hope hopeful jesus promises,0
"Take the I, cross it out in the middle, and you have a living christ - you yourself.",Abhijit Naskar,christian-life christianity christmas giving helping-others holiday-spirit kindness selfless service-of-humanity unselfish,0
"When the cadres banned his students from singing any actual Christmas carols in a stage version of ''A Christmas Carol,'' he had them substitute patriotic Communist songs -- which actually improved Dickens: ''My favorite scene was when a furious Scrooge swung his cane at a band of merry carolers who were belting out 'The East Is Red,' singing the praises of Mao Zedong while the old man shouted, 'Humbug!",peter hessler,chinese-communist-party christmas dickens,0
"I rather like the shape of the sheath dress,"" he said thoughtfully. ""And corsets are a dastardly inconvenience when you're in a hurry...But I like them, I think, overall. It's like Christmas. The presents with the tight knots and sparkling wrappers are by far the most exciting to unwrap.",Allie Ray,christmas corsets,0
"Tomatoes should be accorded with respect, for without them, Christmas stew wouldn’t exist.",Michael Bassey Johnson,christmas christmas-quotes christmas-spirit christmastime cooking-quotes kitchen stew tomato tomatoes xmas,0
"Christmas SonnetJingle bells, jingle bells, jingle all the way,Oh, what fun it is to give our own life away!Saint Nicholas did his part, so did Chris himself,Now it's time for us to be the happiness gateway.Dashing through the alleys devoid of lights,Holding up high as beacon, our own heart,Breaking ourselves to pieces and burning to ashes,We'll ensure no one lacks the love a human deserves.We are Dasher, Dancer, Prancer, Vixen and Comet,We are Cupid, Donner, Blitzen and Rudolph.We are also modern day Nick, Chris and Eckhart,By our love and oneness let the world be engulfed!Twelve days ain't enough to celebrate Christmas.As humans we must live each day helping others.",Abhijit Naskar,christian-living christmas christmas-eve christmas-quotes christmas-spirit helping-others love-thy-neighbor merry-christmas santa-claus sonnet,0
Our efforts to rescue ourselves only serves to enhance our need to be rescued.,Craig D. Lounsbrough,arrogance christmas god jesus pride prideful rescue salvation self-confidence self-sufficient,0
"Cold wintry night ,was born a child through a woman pure, with divine intervention and a mission to cure, to heal the broken hearted, to bind up their wounds. He lived as man for me to die for me, to shed His Blood as an offering to wash me clean, to claim me back unto Himself as One in God my Creator, and So is He my Jesus Divine, One God in all men. He is ! He was ! and will always be ! At His birth on earth, heaven rejoiced, with His sacrifice heaven said it is accomplished , at His resurrection Heaven shouted 'restored' and He will come again, for which Heaven plans a banquet. And this is the Christmas Story",Henrietta Newton Martin-Legal Professional & Author,christmas christmas-quotes christmas-story christmas-wishes holiday-season,0
"We walked home in the cold afternoon past Franklin Simon's windows, where the children of all nations revolved steadily in the light. Most of the stores were concentrating on the gift aspect of the Nativity, displaying frankincense, myrrh, and bath salts, but Franklin Simon advertised the Child Himself, along with a processional of other children of assorted races, lovely to behold. We stood and watched passers-by take in this international and interracial scene, done in terms of childhood, and we observed the gleam in the eyes of colored people as they spotted the little colored child in with the others. There hasn't been a Christmas like this one since the first Christmas--the fear, the suffering, the awe, the strange new light that nobody understands yet. All the traditional characteristics of Christmas are this year in reverse: instead of the warm grate and the happy child, in most parts of the world the cold room and the starveling. The soldiers of the triumphant armies return to their homes to find a hearty welcome but an unfamiliar air of uneasiness, uncertainty, and constraint. They find, too, that people are groping toward something which still has no name but which keeps turning up--in department-store windows and in every other sort of wistful human display. It is the theme concealed in the victory which the armies of the democracies won in the field, the yet unclaimed triumph: justice among men of all races, a world in which children (of whatever country) are warm and unafraid. It seems too bad that men are preparing to blow the earth to pieces just as they have got their hands on a really first-rate idea. Our Christmas greetings this year are directed to the men and women who will represent the people of the world at the meeting of the United Nations Organization in January. We send them best wishes and a remembrance of that first Christmas. Our hope is that they will shed the old robes which have adorned dignitaries for centuries and put on the new cloth that fits one man as well as another, no matter where he lives on this worried and all too shatterable earth.",E.B. White,christmas humanity justice peace united-nations unity war world-war-ii,0
It's a scientifically proven fact that an elf falls down dead every time they hear a swearword.,Jaimie Admans,christmas holiday sweet-romance,0
"It's Norway. It's been snowing for weeks.That sounds cold.Oh no, not at all. It's only minus fifteen today.",Jaimie Admans,christmas holiday rom-com sweet-romance,0
"charitable, pleasant time: the only time I know of, in the long calendar of the year, when men and women seem by one consent to open that their shut-up hearts freely, and to think of people below them as if they really were fellow passengers to the grave,",Charles Dickens,christmas ispirational winter,0
Christmas is like softly-falling snow that covers the world in a blanket of white so flawless and brilliant as to make us pause to ponder the miracle.,Richelle E. Goodrich,christmas christmas-is-like richelle-e-goodrich richelle-goodrich snow,1
"A holiday atmosphere thrives in these ways:Through laughter, attention,goodwill, and true praise.",Richelle E. Goodrich,attention christmas goodwill holiday-atmosphere holidays laughter praise richelle-e-goodrich richelle-goodrich,1
"He saw those who had been delicately nurtured, and tenderly brought up, cheerful under privations, and superior to suffering, that would have crushed many of a rougher grain, because they bore within their own bosoms the material of happiness, contentment, and peace.",Charles Dickens,christmas developmental-psychology relational-neuroscience resilience,1
Christmas doesn’t come from the store to sit under the tree; It’s comes from the heart and is spread for free.,Nadine Sadaka Boulos,christmas free heart love spread store tree,0
Christmas doesn’t come from the store to sit under the tree; It comes from the heart and is spread for free.,Nadine Sadaka Boulos,christmas,0
"He told me it didn't really matter if it was true, it was what the story MEANT that was so important.",Lee Bermejo,change christmas inspirational life life-lessons meaning-of-life,0
"My prayer is for everyone to survive second wave of COVID 19 and for everyone to make it to next year. Also God protect us on the road during this festive season, and make peace in our homes, unite our families, since we are on lockdown.Jeremiah 29:12",De philosopher DJ Kyos,bible-quotes christian-quotes christmas church-quotes motivational-quotes new-year philosophy prayer quotes resolution,0
Christmas is about goodness. It is thinking about others and trying to bring them happiness.,Nadine Sadaka Boulos,christmas goodness happiness,0
Christmas is about goodness and humbleness. It is about thinking of others and trying to bring them joy.,Nadine Sadaka Boulos,christmas goodness humbleness-quotes joyful,0
"Dear Santa,The best of all wishes you can grant for me is bringing all my loved ones around my Christmas tree.",Nadine Sadaka Boulos,bring-together christmas family love loved-ones,0
"When Christmas has passed, if I find that I am none the better for having engaged it, the only explanation that I can muster up is that I can be handed the greatest of gifts, yet still have the emptiest of hands. And finding myself in that dreadful condition, I am left to assume that the fool within me has chosen to live with the hands that now define me instead of embracing the God Who wishes to fill me.",Craig D. Lounsbrough,birth christian christmas empty god hands jesus manger redemption salvation,0
I knew it was time to shave the beard off and start an exercise regimen when I was asked to play Santa at the Christmas party this year!,James Hauenstein,christmas christmas-party christmas-quotes christmas-spirit happy-holiday-quotes happy-holidays santa santa-claus santa-clause-quotes st-nick,0
"Season's Greetings by Stewart StaffordSeason's GreetingsTo those we are needing,While I am leadingThe Festive charge.Christmas love is fleeting,The snow is sleeting,And there's every chance of feeling,A thaw in my cold heart.Season's Greetings everywhere,Let War cease and all be fair,A heart that's full of Christmas cheer,Bravely faces the New Year.And so, we feast and celebrate,For those we've lost, we contemplate,Christmas is an emotional stocktake,Of those still here and those that are late.The year winds down to that last date,Resolutions tempting fate,New Fear's Eve, many hate,And choose to socially-isolate.Season's Greetings while you can,To every woman, child, and man,Season's Greetings, don't you waitHold back now, and it's too late.And in the end, all we do,Is create memories for the few,Who mattered while we strode this earth,Then back to the place before our birth.Season's Greetings, decorations down,Bittersweet crunching sounds,Topple the tree to live again,Twelfth Night, the inevitable end.© Stewart Stafford, 2020. All rights reserved.",Stewart Stafford,christmas christmas-cheer christmas-truce new-year-s-eve poem poetry season-s-greetings social-distancing twelfth-night xmas,0
"Advent Season by Stewart StaffordA house bedecked in verdant wonderment,With lights that mirror the starry firmament,Where the Christmas Star did once shine,To guide worshippers to the Divine.The wreath on the door is a welcome portal,For any passing cheerful mortal,Wishing to enjoy warm company,And mountains of gravy-drowned turkey.Nostrils fill with cooking scents,That waft through the house with excitementA feast to consume on the 25th,After the Man in Red has paid a visit.Children orchestrate great noise,And sit and play with gifted toys,While adults watch and reminisce,On childhoods past and favourite gifts.The Wheel of Time turns,Festivities End,And the year itself begins again.In Time's juvenile crawl,Or adult speed,Life zips forward, and history repeats.© Stewart Stafford, 2020. All rights reserved.",Stewart Stafford,advent childhood-christmases christmas christmas-decorations christmas-dinner christmas-past christmas-star poem poetry time-passing,0
"Some few large men sat in the front parlors (...), Uncles almost certainly, trying their new cigars, holding them out judiciously at arms’ length, returning them to their mouths, coughing, then holding them out again as though waiting for the explosion;",Dylan Thomas,christmas cigars uncles,0
"The salvation of mankind from sin by God himself begins with the birth of Jesus Christ, the Saviour.",Lailah Gifty Akita,christian christmas god jesus-christ mankind salvation sin,0
"After, Christmas felt like a black hole that would suck me into it for weeks. It made me think of my mum when I didn't want ot think of her. Which understandably made me cranky, But you're not allowed to be cranky on Christmas. You're supposed to be all merry and bright.",Cynthia Hand,christmas death depression sad,0
What is the saddest day of the year? Labor Day or December 26th? One is given only a certain number of Christmases in one’s life.,Elin Hilderbrand,christmas labor-day,0
Be ware! Santa Claus is a fake profile.,Ljupka Cvetanova,aphorism believe beware children christmas fake-profile funny santa-claus truth,0
"Jesus is in me, Jesus is in you, you must find it out, merry christmas love and delight.",Santosh Kumar (San),christmas jesus love,0
Christmas was always the worst… What’s the point of Christmas without any kids to share it with?,Zidrou,childless childless-women children christmas christmastime holiday-season holidays kids parenting,0
"Home: a loaded term. What is it? They say home is where the heart is; it’s sweet, where we go for Christmas, if only in our dreams.",A.D. Aliwat,christmas home home-sweet-home the-heart,0
"The Puritans knew what subsequent generations would forget: that when the Church, more than a millennium earlier, had placed Christmas Day in late December, the decision was part of what amounted to a compromise, and a compromise for which the Church paid a high price. Late-December festivities were deeply rooted in popular culture, both in observance of the winter solstice and in celebration of the one brief period of leisure and plenty in the agricultural year. In return for ensuring massive observance of the anniversary of the Savior's birth by assigning it to this resonant date, the Church for its part tacitly agreed to allow the holiday to be celebrated more or less the way it had always been. From the beginning, the Church's hold over Christmas was (and remains still) rather tenuous. There were always people for whom Christmas was a time of pious devotion rather than carnival, but such people were always in the minority. It may not be going too far to say that Christmas has always been an extremely difficult holiday to Christianize. Little wonder that the Puritans were willing to save themselves the trouble.",Stephen Nissenbaum,christmas history,0
"As it turned out, the years 1817-1819 were to represent a historical high-water mark in the religious celebration of Christmas in Boston. To this day New England's Unitarian, Baptist, and Methodist churches are ordinarily closed on Christmas Day, along with its Congregational and Presbytarian ones. What happened was that in New England, as elsewhere, religion failed to transform Christmas from a season of misrule into an occasion of quieter pleasure. That transformation would, however, shortly take place--but not at the hands of Christianity. The 'house of ale' would not be vanquished by the house of God, but by a new faith that was just beginning to sweep over American society. It was the religion of domesticity, which would be represented at Christmas-time not by Jesus of Nazareth but by a newer and more wordly deity--Santa Claus.",Stephen Nissenbaum,christmas history,0
"In a very important way, such a child-centered event was a new thing. Before the nineteenth century children were merely dependents--miniature adults who occupied the bottom of the hierarchy within the family, along with the servants. But perhaps that was exactly the point, because in another way this was a very old thing. Making children the center of joyous attention marked an inversion of the social hierarchy, which meant that a part of the structure of an older Christmas ritual was being precisely preserved: People in positions of social and economic authority were offering gifts to their dependents. The ritual of social inversion was still there, but now it was based on age and family status alone. Age had replaced social class as the axis along which gifts were given at Christmas. The children of a single household had replaced a larger group of the poor and powerless as the symbolic objects of charity and benevolence.",Stephen Nissenbaum,christmas history,0
"In this way, Moore managed to evoke what had eluded his fellow Knickerbockers, Washington Irving and John Pintard, in their own efforts to recapture the spirit of Christmas past: that is, the integration of the social classes in a scene of shared festivity where the poor posed no threat and gratefully accepted their place. Moore did this by replacing the cheerful poor of cherished memory not just with the children of the household but also with the magical figure of St. Nicholas himself. With this tricky maneuver Moore managed to transform what had been merely archaic and sentimental (and also patronizing to the poor) into something that can be called mythic. In order to negotiate that transformation, to create that myth, Moore had to make the two simple yet crucial changes I have described: He had to present St. Nicholas as a figure who would evoke in his hearers and readers a working-class image (and not a patrician one) and also as a figure who would act the patrician's part (and not the worker's). He had to present St. Nicholas in the role of a bishop, but without a bishop's authority to stand in judgment. In short, Moore had to present St. Nicholas as both a bishop and a worker--but without either the power of the one or the animosity of the other.",Stephen Nissenbaum,christmas history,0
